feature,importance
MaxAbsEStateIndex,7731
MaxEStateIndex,1690
MinAbsEStateIndex,13904
MinEStateIndex,8807
qed,8244
SPS,4563
MolWt,2194
HeavyAtomMolWt,1087
ExactMolWt,605
NumValenceElectrons,290
NumRadicalElectrons,0
MaxPartialCharge,9840
MinPartialCharge,8654
MaxAbsPartialCharge,6122
MinAbsPartialCharge,6575
FpDensityMorgan1,3745
FpDensityMorgan2,4313
FpDensityMorgan3,6315
BCUT2D_MWHI,8785
BCUT2D_MWLOW,13214
BCUT2D_CHGHI,7961
BCUT2D_CHGLO,12612
BCUT2D_LOGPHI,8938
BCUT2D_LOGPLOW,11628
BCUT2D_MRHI,12551
BCUT2D_MRLOW,10732
AvgIpc,11835
BalabanJ,11692
BertzCT,8670
Chi0,1452
Chi0n,3320
Chi0v,1312
Chi1,5337
Chi1n,4946
Chi1v,2157
Chi2n,6572
Chi2v,1388
Chi3n,6758
Chi3v,1745
Chi4n,8168
Chi4v,1649
HallKierAlpha,2108
Ipc,9152
Kappa1,1818
Kappa2,2640
Kappa3,6032
LabuteASA,2164
PEOE_VSA1,3238
PEOE_VSA10,5855
PEOE_VSA11,3224
PEOE_VSA12,1660
PEOE_VSA13,789
PEOE_VSA14,443
PEOE_VSA2,1625
PEOE_VSA3,1155
PEOE_VSA4,1097
PEOE_VSA5,884
PEOE_VSA6,2633
PEOE_VSA7,6142
PEOE_VSA8,7147
PEOE_VSA9,8088
SMR_VSA1,1670
SMR_VSA10,1420
SMR_VSA2,122
SMR_VSA3,1463
SMR_VSA4,2819
SMR_VSA5,5121
SMR_VSA6,2034
SMR_VSA7,1970
SMR_VSA8,0
SMR_VSA9,476
SlogP_VSA1,1177
SlogP_VSA10,835
SlogP_VSA11,228
SlogP_VSA12,0
SlogP_VSA2,4298
SlogP_VSA3,836
SlogP_VSA4,2469
SlogP_VSA5,1949
SlogP_VSA6,1805
SlogP_VSA7,0
SlogP_VSA8,190
SlogP_VSA9,0
TPSA,3478
EState_VSA1,1376
EState_VSA10,337
EState_VSA11,0
EState_VSA2,4979
EState_VSA3,6402
EState_VSA4,6294
EState_VSA5,3294
EState_VSA6,2152
EState_VSA7,2022
EState_VSA8,3718
EState_VSA9,2083
VSA_EState1,4680
VSA_EState10,0
VSA_EState2,3892
VSA_EState3,5532
VSA_EState4,6557
VSA_EState5,8493
VSA_EState6,5408
VSA_EState7,10164
VSA_EState8,7586
VSA_EState9,1586
FractionCSP3,1180
HeavyAtomCount,38
NHOHCount,505
NOCount,157
NumAliphaticCarbocycles,594
NumAliphaticHeterocycles,555
NumAliphaticRings,485
NumAmideBonds,186
NumAromaticCarbocycles,5
NumAromaticHeterocycles,47
NumAromaticRings,35
NumAtomStereoCenters,1784
NumBridgeheadAtoms,999
NumHAcceptors,409
NumHDonors,341
NumHeteroatoms,70
NumHeterocycles,242
NumRotatableBonds,1065
NumSaturatedCarbocycles,529
NumSaturatedHeterocycles,411
NumSaturatedRings,413
NumSpiroAtoms,508
NumUnspecifiedAtomStereoCenters,390
Phi,2062
RingCount,117
MolLogP,4543
MolMR,3694
fr_Al_COO,38
fr_Al_OH,130
fr_Al_OH_noTert,269
fr_ArN,28
fr_Ar_COO,0
fr_Ar_N,150
fr_Ar_NH,168
fr_Ar_OH,81
fr_COO,19
fr_COO2,5
fr_C_O,45
fr_C_O_noCOO,8
fr_C_S,0
fr_HOCCN,25
fr_Imine,79
fr_NH0,345
fr_NH1,410
fr_NH2,176
fr_N_O,138
fr_Ndealkylation1,149
fr_Ndealkylation2,126
fr_Nhpyrrole,38
fr_SH,0
fr_aldehyde,324
fr_alkyl_carbamate,2
fr_alkyl_halide,0
fr_allylic_oxid,431
fr_amide,54
fr_amidine,25
fr_aniline,46
fr_aryl_methyl,100
fr_azide,0
fr_azo,0
fr_barbitur,0
fr_benzene,6
fr_benzodiazepine,0
fr_bicyclic,1637
fr_diazo,0
fr_dihydropyridine,0
fr_epoxide,285
fr_ester,66
fr_ether,99
fr_furan,21
fr_guanido,17
fr_halogen,1
fr_hdrzine,11
fr_hdrzone,24
fr_imidazole,114
fr_imide,17
fr_isocyan,0
fr_isothiocyan,0
fr_ketone,202
fr_ketone_Topliss,226
fr_lactam,100
fr_lactone,73
fr_methoxy,114
fr_morpholine,134
fr_nitrile,60
fr_nitro,2
fr_nitro_arom,0
fr_nitro_arom_nonortho,0
fr_nitroso,0
fr_oxazole,37
fr_oxime,23
fr_para_hydroxylation,8
fr_phenol,0
fr_phenol_noOrthoHbond,0
fr_phos_acid,0
fr_phos_ester,0
fr_piperdine,726
fr_piperzine,51
fr_priamide,80
fr_prisulfonamd,0
fr_pyridine,58
fr_quatN,80
fr_sulfide,0
fr_sulfonamd,0
fr_sulfone,0
fr_term_acetylene,11
fr_tetrazole,22
fr_thiazole,0
fr_thiocyan,0
fr_thiophene,0
fr_unbrch_alkane,9
fr_urea,3
