number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_data_in_leaf,params_num_leaves,state
0,0.16046125160874775,2025-12-07 13:35:41.043573,2025-12-07 13:46:05.609329,0 days 00:10:24.565756,0.7217921997427452,5,0.9125141011156918,0.07914645253886592,76,173,COMPLETE
1,0.2108651328115298,2025-12-07 13:46:05.610832,2025-12-07 13:56:14.261913,0 days 00:10:08.651081,0.9862320670132045,2,0.8815758807648181,0.0055407898128361,35,66,COMPLETE
2,0.1905889379636941,2025-12-07 13:56:14.263743,2025-12-07 14:11:54.573380,0 days 00:15:40.309637,0.9259883638283968,4,0.9668949928741443,0.0044915824004239805,34,177,COMPLETE
3,0.2781668598190312,2025-12-07 14:11:54.575795,2025-12-07 14:17:47.244369,0 days 00:05:52.668574,0.7638192986765021,2,0.7269981553272578,0.003463237770690812,63,22,COMPLETE
4,0.16955168993438047,2025-12-07 14:17:47.245690,2025-12-07 14:23:46.617757,0 days 00:05:59.372067,0.9890363107302812,4,0.9345074485010032,0.0736099552351521,57,49,COMPLETE
5,0.33661331889256557,2025-12-07 14:23:46.619926,2025-12-07 14:41:10.411818,0 days 00:17:23.791892,0.9785107373659168,2,0.8439710439140196,0.0011447532116323313,10,215,COMPLETE
6,0.26436088228302845,2025-12-07 14:41:10.414671,2025-12-07 14:55:46.652682,0 days 00:14:36.238011,0.8757392305940362,5,0.8211598585161447,0.0016703769639273872,67,201,COMPLETE
7,0.16576759336377483,2025-12-07 14:55:46.654177,2025-12-07 15:04:08.218675,0 days 00:08:21.564498,0.7463825114332356,5,0.8999859470411944,0.0451615233570442,91,114,COMPLETE
8,0.15875976768576816,2025-12-07 15:04:08.220167,2025-12-07 15:15:29.170163,0 days 00:11:20.949996,0.9407641796812358,4,0.8351071806123953,0.060754859048216474,76,189,COMPLETE
9,0.19795111625226963,2025-12-07 15:15:29.171431,2025-12-07 15:30:43.069772,0 days 00:15:13.898341,0.859765213918269,3,0.8316007461949122,0.003665011238890525,96,202,COMPLETE
10,0.16192341103566357,2025-12-07 15:30:43.072019,2025-12-07 15:43:49.882663,0 days 00:13:06.810644,0.9177458094737391,1,0.7582586871617115,0.02140204481845282,84,249,COMPLETE
11,0.16664036623518336,2025-12-07 15:43:49.884443,2025-12-07 15:54:36.271185,0 days 00:10:46.386742,0.7004834664220815,4,0.9949431463104864,0.027244304996146256,76,153,COMPLETE
12,0.16161590611957452,2025-12-07 15:54:36.272578,2025-12-07 16:02:12.537198,0 days 00:07:36.264620,0.8032387865804064,5,0.8005059837637436,0.09182781487034382,78,119,COMPLETE
13,0.17539198998320282,2025-12-07 16:02:12.538922,2025-12-07 16:13:24.378496,0 days 00:11:11.839574,0.8087794473855338,4,0.9035285152112974,0.011323664540957876,47,143,COMPLETE
14,0.15903018487992954,2025-12-07 16:13:24.391575,2025-12-07 16:27:13.239842,0 days 00:13:48.848267,0.9180290726322662,3,0.7737170272777601,0.048733475816958916,99,256,COMPLETE
15,0.16024785989576834,2025-12-07 16:27:13.241482,2025-12-07 16:41:29.293395,0 days 00:14:16.051913,0.9224384663090246,3,0.7769272188027678,0.03420907031002136,99,255,COMPLETE
16,0.16922141307005195,2025-12-07 16:41:29.296019,2025-12-07 16:55:34.905339,0 days 00:14:05.609320,0.9456709198438811,3,0.7137019012074127,0.010834358879915976,88,230,COMPLETE
17,0.1647521492349615,2025-12-07 16:55:34.908965,2025-12-07 17:07:46.636833,0 days 00:12:11.727868,0.893591439887255,1,0.769802062402846,0.018232892917118465,100,227,COMPLETE
18,0.158969624205769,2025-12-07 17:07:46.639393,2025-12-07 17:19:21.394506,0 days 00:11:34.755113,0.9521155132605388,3,0.8683279839380799,0.052356179586709656,69,181,COMPLETE
19,0.16358468127649428,2025-12-07 17:19:21.395849,2025-12-07 17:26:51.859435,0 days 00:07:30.463586,0.9531818797705294,4,0.8640275477438955,0.05793648613170969,47,94,COMPLETE
20,0.16675473326153412,2025-12-07 17:26:51.861788,2025-12-07 17:38:47.979751,0 days 00:11:56.117963,0.8287534549240302,3,0.8607087709197051,0.018089701847658495,67,176,COMPLETE
21,0.1599584666900395,2025-12-07 17:38:47.981568,2025-12-07 17:50:41.503138,0 days 00:11:53.521570,0.8987477951035253,3,0.7968521957294369,0.0444081253269116,82,194,COMPLETE
22,0.1601409050618282,2025-12-07 17:50:41.507171,2025-12-07 18:01:30.220995,0 days 00:10:48.713824,0.9546503240795293,2,0.8004809617828703,0.04621818737795388,71,164,COMPLETE
23,0.15871132168465113,2025-12-07 18:01:30.225764,2025-12-07 18:13:55.987394,0 days 00:12:25.761630,0.9661426807955131,3,0.7417124402269012,0.09652878639677637,89,227,COMPLETE
24,0.1567126768634153,2025-12-07 18:13:55.988669,2025-12-07 18:25:26.498045,0 days 00:11:30.509376,0.9605111793270322,4,0.7295515236113638,0.09732822275331515,58,228,COMPLETE
25,0.15640224353129248,2025-12-07 18:25:26.500647,2025-12-07 18:36:46.393406,0 days 00:11:19.892759,0.9987566284840503,4,0.7445714429532864,0.09404971799830333,52,231,COMPLETE
26,0.15566658339666856,2025-12-07 18:36:46.395917,2025-12-07 18:47:39.627746,0 days 00:10:53.231829,0.9978645173144768,4,0.7355949667918182,0.08982961244272815,35,231,COMPLETE
27,0.1579475501458425,2025-12-07 18:47:39.630401,2025-12-07 18:59:32.504878,0 days 00:11:52.874477,0.9982930889713897,4,0.7080706081208716,0.0326480710140963,26,237,COMPLETE
28,0.1567011208464404,2025-12-07 18:59:32.506068,2025-12-07 19:09:27.709226,0 days 00:09:55.203158,0.996913307448452,5,0.701144431714907,0.07435711727737371,49,213,COMPLETE
29,0.15666608492240375,2025-12-07 19:09:27.710593,2025-12-07 19:19:41.824724,0 days 00:10:14.114131,0.979369612616964,5,0.7450225566459222,0.06913150916003506,48,206,COMPLETE
30,0.15569152164975075,2025-12-07 19:19:41.827160,2025-12-07 19:29:40.834875,0 days 00:09:59.007715,0.972641608287727,5,0.7542147278457364,0.07117321975576056,38,212,COMPLETE
31,0.1563290301405828,2025-12-07 19:29:40.836563,2025-12-07 19:40:02.260324,0 days 00:10:21.423761,0.9688097524366471,5,0.7445380688828773,0.07018058393426185,38,215,COMPLETE
32,0.15751438504901838,2025-12-07 19:40:02.268677,2025-12-07 19:52:26.069790,0 days 00:12:23.801113,0.9737347039694146,5,0.7492969584593454,0.034280203883984055,38,242,COMPLETE
33,0.1562044992362917,2025-12-07 19:52:26.071060,2025-12-07 20:02:11.767990,0 days 00:09:45.696930,0.9999314854345368,5,0.7310504988516717,0.0740330753874899,24,215,COMPLETE
34,0.18032148779017404,2025-12-07 20:02:11.769216,2025-12-07 20:14:24.430721,0 days 00:12:12.661505,0.9349874028438298,5,0.7186960912456782,0.006903678269464863,24,161,COMPLETE
35,0.1560827578601096,2025-12-07 20:14:24.433124,2025-12-07 20:24:05.953957,0 days 00:09:41.520833,0.9695220285095186,5,0.7316305071759349,0.07053101876448309,39,210,COMPLETE
36,0.161824819307483,2025-12-07 20:24:05.956233,2025-12-07 20:34:42.184536,0 days 00:10:36.228303,0.9803345970978911,5,0.7261277283326606,0.026436541699560924,28,186,COMPLETE
37,0.23505433000816614,2025-12-07 20:34:42.185778,2025-12-07 20:49:55.588616,0 days 00:15:13.402838,0.9074154017278946,5,0.7929472952394232,0.0020321346664142945,20,215,COMPLETE
38,0.17823447084084648,2025-12-07 20:49:55.591264,2025-12-07 20:55:46.709519,0 days 00:05:51.118255,0.9848033910380677,5,0.7607017395661861,0.03827275268913336,15,50,COMPLETE
39,0.19135252632567248,2025-12-07 20:55:46.710829,2025-12-07 20:59:49.955128,0 days 00:04:03.244299,0.935802115575304,5,0.7296098812246407,0.057841298583221616,33,18,COMPLETE
40,0.15648331209373303,2025-12-07 20:59:49.956589,2025-12-07 21:12:11.049212,0 days 00:12:21.092623,0.8823501919802693,4,0.9470711856679126,0.07890158983614985,39,241,COMPLETE
41,0.15612953333837226,2025-12-07 21:12:11.053805,2025-12-07 21:23:23.613494,0 days 00:11:12.559689,0.9692764669991883,5,0.7854200085713898,0.06728224535846643,41,218,COMPLETE
42,0.15632524338115808,2025-12-07 21:23:23.615014,2025-12-07 21:33:37.927886,0 days 00:10:14.312872,0.9849970634436002,5,0.7772981302369575,0.06800397291152104,31,198,COMPLETE
43,0.15671604508917464,2025-12-07 21:33:37.932042,2025-12-07 21:45:15.704784,0 days 00:11:37.772742,0.9664479847874611,4,0.8164619168174972,0.0587817062996735,44,206,COMPLETE
44,0.15609786825674582,2025-12-07 21:45:15.707388,2025-12-07 21:56:29.116291,0 days 00:11:13.408903,0.9989997271703597,5,0.7634466909454346,0.08104065688846128,41,219,COMPLETE
45,0.15743160293777864,2025-12-07 21:56:29.118272,2025-12-07 22:07:52.356807,0 days 00:11:23.238535,0.9394597662066757,5,0.7826291082834635,0.041874352427323576,42,221,COMPLETE
46,0.15849255928981898,2025-12-07 22:07:52.360104,2025-12-07 22:17:54.764861,0 days 00:10:02.404757,0.8556597606887405,4,0.7605395394076452,0.08014571305216249,55,168,COMPLETE
47,0.17777696295030881,2025-12-07 22:17:54.766524,2025-12-07 22:33:11.277434,0 days 00:15:16.510910,0.9842785216048927,5,0.8096440218815739,0.006599300334081891,31,192,COMPLETE
48,0.1595482228895643,2025-12-07 22:33:11.278840,2025-12-07 22:46:15.684084,0 days 00:13:04.405244,0.7523721773982658,5,0.7604281425166869,0.02703227047921528,42,246,COMPLETE
49,0.17257440251844916,2025-12-07 22:46:15.685540,2025-12-07 22:55:54.541897,0 days 00:09:38.856357,0.7808057718372132,4,0.7881820022357465,0.015432532689155279,35,127,COMPLETE
