feature,importance
MaxAbsEStateIndex,6845
MaxEStateIndex,1070
MinAbsEStateIndex,11092
MinEStateIndex,8298
qed,8452
SPS,4812
MolWt,2254
HeavyAtomMolWt,891
ExactMolWt,529
NumValenceElectrons,368
NumRadicalElectrons,0
MaxPartialCharge,10346
MinPartialCharge,8661
MaxAbsPartialCharge,6560
MinAbsPartialCharge,5979
FpDensityMorgan1,3553
FpDensityMorgan2,4285
FpDensityMorgan3,5978
BCUT2D_MWHI,8872
BCUT2D_MWLOW,12199
BCUT2D_CHGHI,7683
BCUT2D_CHGLO,11665
BCUT2D_LOGPHI,8277
BCUT2D_LOGPLOW,10387
BCUT2D_MRHI,13127
BCUT2D_MRLOW,10073
AvgIpc,11923
BalabanJ,10146
BertzCT,8267
Chi0,1380
Chi0n,3233
Chi0v,1176
Chi1,5681
Chi1n,3952
Chi1v,1750
Chi2n,5172
Chi2v,864
Chi3n,5021
Chi3v,966
Chi4n,6726
Chi4v,1002
HallKierAlpha,2586
Ipc,8302
Kappa1,1870
Kappa2,2892
Kappa3,5969
LabuteASA,2190
PEOE_VSA1,3537
PEOE_VSA10,5922
PEOE_VSA11,3424
PEOE_VSA12,1758
PEOE_VSA13,1029
PEOE_VSA14,705
PEOE_VSA2,1911
PEOE_VSA3,1408
PEOE_VSA4,1310
PEOE_VSA5,1105
PEOE_VSA6,2877
PEOE_VSA7,5042
PEOE_VSA8,6529
PEOE_VSA9,8030
SMR_VSA1,2008
SMR_VSA10,1692
SMR_VSA2,85
SMR_VSA3,1929
SMR_VSA4,1975
SMR_VSA5,5299
SMR_VSA6,2172
SMR_VSA7,2470
SMR_VSA8,0
SMR_VSA9,595
SlogP_VSA1,1682
SlogP_VSA10,652
SlogP_VSA11,251
SlogP_VSA12,0
SlogP_VSA2,4792
SlogP_VSA3,879
SlogP_VSA4,2481
SlogP_VSA5,2040
SlogP_VSA6,2414
SlogP_VSA7,0
SlogP_VSA8,318
SlogP_VSA9,0
TPSA,4017
EState_VSA1,1640
EState_VSA10,457
EState_VSA11,0
EState_VSA2,4615
EState_VSA3,5767
EState_VSA4,5434
EState_VSA5,3087
EState_VSA6,2063
EState_VSA7,1964
EState_VSA8,3825
EState_VSA9,2236
VSA_EState1,4177
VSA_EState10,0
VSA_EState2,3703
VSA_EState3,5390
VSA_EState4,6642
VSA_EState5,7663
VSA_EState6,4787
VSA_EState7,8810
VSA_EState8,6645
VSA_EState9,1739
FractionCSP3,1564
HeavyAtomCount,12
NHOHCount,595
NOCount,196
NumAliphaticCarbocycles,646
NumAliphaticHeterocycles,689
NumAliphaticRings,586
NumAmideBonds,292
NumAromaticCarbocycles,1
NumAromaticHeterocycles,54
NumAromaticRings,73
NumAtomStereoCenters,1418
NumBridgeheadAtoms,1314
NumHAcceptors,526
NumHDonors,385
NumHeteroatoms,77
NumHeterocycles,344
NumRotatableBonds,1259
NumSaturatedCarbocycles,710
NumSaturatedHeterocycles,498
NumSaturatedRings,497
NumSpiroAtoms,682
NumUnspecifiedAtomStereoCenters,471
Phi,2239
RingCount,101
MolLogP,5109
MolMR,3685
fr_Al_COO,61
fr_Al_OH,142
fr_Al_OH_noTert,318
fr_ArN,42
fr_Ar_COO,0
fr_Ar_N,175
fr_Ar_NH,204
fr_Ar_OH,23
fr_COO,66
fr_COO2,6
fr_C_O,34
fr_C_O_noCOO,3
fr_C_S,0
fr_HOCCN,25
fr_Imine,116
fr_NH0,446
fr_NH1,531
fr_NH2,339
fr_N_O,203
fr_Ndealkylation1,214
fr_Ndealkylation2,184
fr_Nhpyrrole,36
fr_SH,0
fr_aldehyde,369
fr_alkyl_carbamate,5
fr_alkyl_halide,2
fr_allylic_oxid,487
fr_amide,51
fr_amidine,67
fr_aniline,65
fr_aryl_methyl,90
fr_azide,0
fr_azo,0
fr_barbitur,0
fr_benzene,22
fr_benzodiazepine,0
fr_bicyclic,2047
fr_diazo,0
fr_dihydropyridine,0
fr_epoxide,375
fr_ester,90
fr_ether,128
fr_furan,13
fr_guanido,25
fr_halogen,1
fr_hdrzine,12
fr_hdrzone,33
fr_imidazole,152
fr_imide,15
fr_isocyan,0
fr_isothiocyan,0
fr_ketone,288
fr_ketone_Topliss,265
fr_lactam,133
fr_lactone,96
fr_methoxy,84
fr_morpholine,217
fr_nitrile,54
fr_nitro,2
fr_nitro_arom,0
fr_nitro_arom_nonortho,0
fr_nitroso,0
fr_oxazole,49
fr_oxime,60
fr_para_hydroxylation,7
fr_phenol,0
fr_phenol_noOrthoHbond,0
fr_phos_acid,0
fr_phos_ester,0
fr_piperdine,780
fr_piperzine,80
fr_priamide,92
fr_prisulfonamd,0
fr_pyridine,68
fr_quatN,92
fr_sulfide,0
fr_sulfonamd,0
fr_sulfone,0
fr_term_acetylene,27
fr_tetrazole,48
fr_thiazole,0
fr_thiocyan,0
fr_thiophene,0
fr_unbrch_alkane,9
fr_urea,3
