number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_fair_c,params_feature_fraction,params_learning_rate,params_min_data_in_leaf,params_num_leaves,params_objective,state
0,0.32473282096788714,2025-12-04 13:46:15.263672,2025-12-04 13:51:16.813831,0 days 00:05:01.550159,0.8697744237364646,4,,0.9786257531719407,0.001769719783387774,65,98,regression,COMPLETE
1,0.16613381196613305,2025-12-04 13:51:16.816044,2025-12-04 13:55:04.413503,0 days 00:03:47.597459,0.8363623061980404,4,1.03446709677916,0.8242618587257573,0.020801508141388095,39,138,fair,COMPLETE
2,0.32628621137266356,2025-12-04 13:55:04.415733,2025-12-04 13:57:58.799925,0 days 00:02:54.384192,0.8489045335761242,3,,0.8051611217715678,0.001967578959170382,46,54,regression,COMPLETE
3,0.22130451891089278,2025-12-04 13:57:58.801444,2025-12-04 13:59:45.791047,0 days 00:01:46.989603,0.9154118055202889,5,,0.7017850718275268,0.02232517789077946,10,22,regression_l1,COMPLETE
4,0.18053829432181637,2025-12-04 13:59:45.792451,2025-12-04 14:04:59.739532,0 days 00:05:13.947081,0.8682362929733652,5,2.469187524176129,0.8757225130542292,0.00841348494969796,37,157,fair,COMPLETE
5,0.303070337149007,2025-12-04 14:04:59.741531,2025-12-04 14:10:05.011353,0 days 00:05:05.269822,0.7967748338412958,5,,0.7601603340538474,0.0020111093770196326,27,225,regression_l1,COMPLETE
6,0.19624387442007704,2025-12-04 14:10:05.012966,2025-12-04 14:18:25.811824,0 days 00:08:20.798858,0.7716103586067466,3,,0.9664597937095345,0.013304685338620692,83,68,regression,COMPLETE
7,0.21348593424369647,2025-12-04 14:18:25.817865,2025-12-04 14:28:44.198288,0 days 00:10:18.380423,0.9461764439372375,5,7.154746007435253,0.7920467059739309,0.0036218165374272775,99,170,fair,COMPLETE
8,0.19999890902655088,2025-12-04 14:28:44.212457,2025-12-04 14:35:38.482837,0 days 00:06:54.270380,0.9278914028717479,2,,0.8180106051606615,0.006425810036973639,34,117,regression,COMPLETE
9,0.16011998972000147,2025-12-04 14:35:38.486007,2025-12-04 14:40:52.118361,0 days 00:05:13.632354,0.8216426180958072,5,9.270643735487399,0.9501295252105385,0.030588268112639542,66,204,fair,COMPLETE
10,0.15996254194344423,2025-12-04 14:40:52.120305,2025-12-04 14:52:46.843175,0 days 00:11:54.722870,0.7030681003340962,1,9.686634261566141,0.904658460261984,0.09493295608805535,67,253,fair,COMPLETE
11,0.1602219360429717,2025-12-04 14:52:46.846642,2025-12-04 15:02:27.310432,0 days 00:09:40.463790,0.70028620800643,1,9.734215400422524,0.9097147820243515,0.09748869640706449,64,253,fair,COMPLETE
12,0.16003461766706056,2025-12-04 15:02:27.313672,2025-12-04 15:11:06.059173,0 days 00:08:38.745501,0.71026167023159,1,9.565771466219914,0.9231101890430486,0.0768836444558779,77,201,fair,COMPLETE
13,0.16057028572349163,2025-12-04 15:11:06.061301,2025-12-04 15:18:15.272000,0 days 00:07:09.210699,0.7137717281278179,1,6.5432123687347215,0.8964740361326858,0.0915351231361855,81,253,fair,COMPLETE
14,0.15900098984845398,2025-12-04 15:18:15.274475,2025-12-04 15:27:24.936938,0 days 00:09:09.662463,0.7491945934034364,2,9.95523477949987,0.9295698808519032,0.04669511313539688,82,203,fair,COMPLETE
15,0.1594889910402739,2025-12-04 15:27:24.939447,2025-12-04 15:35:29.875493,0 days 00:08:04.936046,0.7604420258421506,2,7.2711622851916085,0.857328151196287,0.04817184320833721,100,213,fair,COMPLETE
